link,search,split,onbeforeunload,onload,onerror,onunload,onbeforeload,onmouseover,dispatchEvent,fireEvent,setAttribute,location,charAt,log,random,charCodeAt,decode,Quit,classid,classId,fromCharCode,concat,indexOf,substring,replace,addEventListener,attachEvent,createElement,getElementById,write,cookie,run,window,console,WScript,document,localStorage,eval,setTimeout,escape,unescape,parseInt,search,split,onbeforeunload,onload,onerror,onunload,onbeforeload,onmouseover,dispatchEvent,fireEvent,setAttribute,location,charAt,log,random,charCodeAt,decode,Quit,classid,classId,fromCharCode,concat,indexOf,substring,replace,addEventListener,attachEvent,createElement,getElementById,write,cookie,window,console,WScript,document,localStorage,eval,setTimeout,escape,unescape,parseInt,jq_addClass,jq_after,jq_append,jq_appendTo,jq_attr,jq_before,jq_html,jq_insertAfter,jq_insertBefore,jq_prepend,jq_prependTo,jq_prop,jq_replaceWith,jq_val,jq_wrap,jq_wrapAll,jq_wrapInner,jq_parseHTML,jq_$,jq_jQuery,jq_jQuery.globalEval,JqueryTotal,ExternalJs
https://www.google.com,9,182,0,0,0,0,0,0,106,2,102,0,79,144,53,31,0,0,0,0,12,61,190,88,273,51,15,45,37,5,0,0,0,0,0,0,0,2,80,1,5,56,9,182,0,0,0,0,0,0,106,2,102,0,79,144,53,31,0,0,0,0,12,61,190,88,273,51,15,45,37,5,0,0,0,0,0,0,2,80,1,5,56,0,0,24,0,0,0,0,0,19,1,0,0,0,0,0,0,0,0,1,0,0,45,2
https://www.instagram.com,6,144,0,3,2,0,0,0,2,0,38,0,44,227,25,71,9,0,0,0,27,118,183,39,204,101,6,3360,10,0,0,2,0,0,0,0,0,0,102,1,1,63,6,144,0,3,2,0,0,0,2,0,38,0,44,227,25,71,9,0,0,0,27,118,183,39,204,101,6,3360,10,0,0,0,0,0,0,0,0,102,1,1,63,0,0,27,0,0,0,1,0,7,0,0,0,0,0,6,0,0,0,25,0,0,66,2
